,precision,recall,f1-score,support
FLB,1.0,1.0,1.0,19.0
LACP,0.0,0.0,0.0,1.0
LLB,1.0,1.0,1.0,21.0
LOCA,1.0,1.0,1.0,21.0
LOCAC,1.0,1.0,1.0,22.0
LR,0.96,1.0,0.9795918367346939,24.0
MD,1.0,1.0,1.0,25.0
RI,1.0,1.0,1.0,13.0
RW,1.0,1.0,1.0,22.0
SGATR,1.0,1.0,1.0,17.0
SGBTR,1.0,1.0,1.0,24.0
SLBIC,1.0,1.0,1.0,17.0
SLBOC,1.0,1.0,1.0,18.0
accuracy,0.9959016393442623,0.9959016393442623,0.9959016393442623,0.9959016393442623
macro avg,0.92,0.9230769230769231,0.9215070643642073,244.0
weighted avg,0.9919672131147541,0.9959016393442623,0.9938942790230846,244.0
