,precision,recall,f1-score,support
FLB,1.0,1.0,1.0,19.0
LACP,0.0,0.0,0.0,1.0
LLB,1.0,1.0,1.0,21.0
LOCA,0.7368421052631579,0.6666666666666666,0.7,21.0
LOCAC,0.7083333333333334,0.7727272727272727,0.7391304347826086,22.0
LR,1.0,1.0,1.0,24.0
MD,1.0,0.88,0.9361702127659575,25.0
RI,0.9285714285714286,1.0,0.9629629629629629,13.0
RW,1.0,0.9545454545454546,0.9767441860465116,22.0
SGATR,1.0,1.0,1.0,17.0
SGBTR,1.0,0.9166666666666666,0.9565217391304348,24.0
SLBIC,1.0,1.0,1.0,17.0
SLBOC,0.782608695652174,1.0,0.8780487804878049,18.0
SP,0.0,0.0,0.0,0.0
accuracy,0.9221311475409836,0.9221311475409836,0.9221311475409836,0.9221311475409836
macro avg,0.7968825402014353,0.7993290043290042,0.7963984511554487,244.0
weighted avg,0.9271123058894564,0.9221311475409836,0.9226779314910616,244.0
