,precision,recall,f1-score,support
ATWS,0.0,0.0,0.0,1.0
FLB,1.0,1.0,1.0,19.0
LACP,0.0,0.0,0.0,1.0
LLB,1.0,1.0,1.0,21.0
LOCA,1.0,1.0,1.0,21.0
LOCAC,1.0,1.0,1.0,22.0
LOF,0.0,0.0,0.0,1.0
LR,0.8888888888888888,1.0,0.9411764705882353,24.0
MD,0.9259259259259259,1.0,0.9615384615384616,25.0
RI,1.0,1.0,1.0,13.0
RW,1.0,1.0,1.0,22.0
SGATR,1.0,1.0,1.0,17.0
SGBTR,1.0,1.0,1.0,24.0
SLBIC,1.0,1.0,1.0,17.0
SLBOC,1.0,1.0,1.0,18.0
SP,0.0,0.0,0.0,1.0
TT,0.0,0.0,0.0,1.0
accuracy,0.9798387096774194,0.9798387096774194,0.9798387096774194,0.9798387096774194
macro avg,0.6949891067538126,0.7058823529411765,0.7001597018898057,248.0
weighted avg,0.9616188769414575,0.9798387096774194,0.9702689388410451,248.0
